1: A=The Thousand Good Books
2: A=From: The Death of Christian Culture by John Senior (IHS Press)
4: A=Author | B=Book Title | C=Age Group | D=Index Group
169: A=James, Will (illustrated by James [Scribner's]) | B=Book of Cowboys | C=SCHOOL DAYS (ages 7–12) | D=2.0
170: A=James, Will | B=Lone Cowboy | C=SCHOOL DAYS (ages 7–12) | D=2.0
171: A=James, Will | B=Smoky | C=SCHOOL DAYS (ages 7–12) | D=2.0
172: A=Kingsley, Charles | B=Westward Ho! | C=SCHOOL DAYS (ages 7–12) | D=2.0
173: A=Kipling, Rudyard | B=Captains Courageous | C=SCHOOL DAYS (ages 7–12) | D=2.0
174: A=Kipling, Rudyard | B=Kim | C=SCHOOL DAYS (ages 7–12) | D=2.0
175: A=Kipling, Rudyard | B=Stalky and Co. (illustrated by Miller) | C=SCHOOL DAYS (ages 7–12) | D=2.0
176: A=Longfellow, Henry Wadsworth | B=Evangeline | C=SCHOOL DAYS (ages 7–12) | D=2.0
177: A=Longfellow, Henry Wadsworth | B=Hiawatha | C=SCHOOL DAYS (ages 7–12) | D=2.0
178: A=MacDonald, George | B=The Princess and Curdie | C=SCHOOL DAYS (ages 7–12) | D=2.0
179: A=MacDonald, George | B=The Princess and the Goblin | C=SCHOOL DAYS (ages 7–12) | D=2.0
180: A=Marryat, Fredrick | B=Masterman Ready | C=SCHOOL DAYS (ages 7–12) | D=2.0
181: A=Marryat, Fredrick | B=Mr. Midshipman Easy | C=SCHOOL DAYS (ages 7–12) | D=2.0
182: A=Masefield, John | B=Jim Davis | C=SCHOOL DAYS (ages 7–12) | D=2.0
183: A=Pyle, Howard | B=Otto of the Silver Hand | C=SCHOOL DAYS (ages 7–12) | D=2.0
184: A=Pyle, Howard | B=Robin Hood (illustrated by Pyle [Dover]) | C=SCHOOL DAYS (ages 7–12) | D=2.0
185: A=Sewall, Anna | B=Black Beauty | C=SCHOOL DAYS (ages 7–12) | D=2.0
186: A=Shakespeare, William | B=Comedy of Errors | C=SCHOOL DAYS (ages 7–12) | D=2.0
187: A=Spyri, Johanna | B=Cornelli | C=SCHOOL DAYS (ages 7–12) | D=2.0
188: A=Spyri, Johanna | B=Heidi | C=SCHOOL DAYS (ages 7–12) | D=2.0
189: A=Stevenson, Robert Louis (preferably illustrated by Wyeth) | B=Across the Plains | C=SCHOOL DAYS (ages 7–12) | D=2.0
190: A=Stevenson, Robert Louis | B=From Clyde to Sandy Hook | C=SCHOOL DAYS (ages 7–12) | D=2.0
191: A=Stevenson, Robert Louis | B=Kidnapped | C=SCHOOL DAYS (ages 7–12) | D=2.0
192: A=Stevenson, Robert Louis | B=The Silverado Squatters | C=SCHOOL DAYS (ages 7–12) | D=2.0
193: A=Stevenson, Robert Louis | B=Treasure Island | C=SCHOOL DAYS (ages 7–12) | D=2.0
194: A=Stowe, Harriet Beecher | B=Uncle Tom's Cabin | C=SCHOOL DAYS (ages 7–12) | D=2.0
195: A=Stratton-Porter, Gene | B=At the Foot of the Rainbow | C=SCHOOL DAYS (ages 7–12) | D=2.0
196: A=Stratton-Porter, Gene | B=A Daughter of the Land | C=SCHOOL DAYS (ages 7–12) | D=2.0
